"27732","CHEBI:27732","chebi","RYR1_MOUSE","E9PZQ0","uniprot"
"27732","CHEBI:27732","chebi","RYR1_RAT","F1LMY4","uniprot"
"27732","CHEBI:27732","chebi","RYR1_HUMAN","P21817","uniprot"
"27732","CHEBI:27732","chebi","CP3A4_HUMAN","P08684","uniprot"
"27732","CHEBI:27732","chebi","ATR_HUMAN","Q13535","uniprot"
"27732","CHEBI:27732","chebi","PUP1_ARATH","Q9FZ96","uniprot"
"27732","CHEBI:27732","chebi","SMG1_HUMAN","Q96Q15","uniprot"
"27732","CHEBI:27732","chebi","SMG1_MOUSE","Q8BKX6","uniprot"
"27732","CHEBI:27732","chebi","RYR2_HUMAN","Q92736","uniprot"
"27732","CHEBI:27732","chebi","RYR2_MOUSE","E9Q401","uniprot"
"27732","CHEBI:27732","chebi","PNKD_HUMAN","Q8N490","uniprot"
"27732","CHEBI:27732","chebi","ATR_MOUSE","Q9JKK8","uniprot"
"27732","CHEBI:27732","chebi","CP1A2_HUMAN","P05177","uniprot"
"27732","CHEBI:27732","chebi","RYR3_HUMAN","Q15413","uniprot"
"27732","CHEBI:27732","chebi","RYR2_RAT","B0LPN4","uniprot"
"27732","CHEBI:27732","chebi","RYR3_MOUSE","A2AGL3","uniprot"
